frame,x,y,radius
62,68.08,91.04,14.0
62,335.84,313.28,16.0
62,323.0,386.0,15.0
62,318.74,136.78,14.5
62,382.84,122.86000000000001,16.0
63,112.56,201.76,13.0
63,67.32,91.28,13.999999999999996
63,334.32,313.28,16.0
63,322.24,386.0,15.0
63,318.74,137.54,14.5
63,383.36,123.38,16.0
64,114.08,201.0,13.0
64,68.08,91.8,14.0
64,335.32,312.52,16.0
64,319.96,386.0,15.0
64,319.5,134.5,14.5
64,382.84,124.38,16.0
65,112.56,201.0,13.0
65,67.32,91.8,13.999999999999996
65,334.32,313.28,16.0
65,319.96,385.24,15.0
65,317.22,137.02,14.5
65,382.6,124.62,16.0
66,112.04,201.76,13.0
66,66.56,91.28,14.0
66,335.32,314.04,16.0
66,321.48,384.24,15.0
66,318.74,136.78,14.5
66,382.6,126.13999999999999,16.0
67,113.69999999999999,201.76,14.899999999999999
67,66.56,91.04,14.0
67,334.56,313.28,16.0
67,320.72,383.88,15.0
67,319.5,135.5,14.5
67,381.08,122.34,16.0
68,112.8,201.0,13.0
68,66.56,88.98,15.52
68,334.56,313.28,16.0
68,319.72,385.0,15.0
68,319.5,135.5,14.5
68,380.32,127.41999999999999,16.0
69,112.8,201.0,13.0
69,66.56,87.48,14.0
69,334.56,313.28,16.0
69,319.2,383.48,15.0
69,319.5,135.5,14.5
69,379.56,126.38,16.0
70,114.32,201.76,13.0
70,65.04,90.52,14.000000000000004
70,335.32,313.28,16.0
70,319.72,384.24,15.0
70,318.74,138.54,14.5
70,378.8,127.13999999999999,16.0
71,113.56,201.0,13.0
71,64.56,89.0,14.0
71,335.32,314.04,16.0
71,318.2,383.48,15.0
71,319.5,135.5,14.5
71,378.8,127.13999999999999,16.0
72,113.8,201.0,13.0
72,66.32,88.48,13.999999999999996
72,337.6,312.52,16.0
72,317.44,385.0,15.0
72,320.26,138.54,14.5
72,378.52,128.14,16.0
73,113.4,201.0,16.400000000000006
73,65.8,88.76,14.0
73,334.56,313.28,16.0
73,318.2,382.96,15.0
73,318.74,140.06,14.5
73,375.48,130.42,16.0
74,112.28999999999999,199.48,16.029999999999994
74,67.08,88.0,14.0
74,336.84,315.56,16.0
74,318.2,383.72,15.0
74,316.7,141.82,14.5
74,376.52,126.86000000000001,16.0
75,114.94,201.0,17.18
75,65.56,86.48,14.0
75,336.84,314.8,16.0
75,320.48,385.0,15.0
75,319.74,140.82,14.5
75,377.28,128.9,16.0
76,116.48,202.0,14.88000000000001
76,65.8,84.96,14.0
76,336.84,315.56,16.0
76,318.2,385.0,15.0
76,319.5,135.5,14.5
76,376.76,128.9,16.0
77,116.08000000000001,202.12,16.04
77,66.56,88.76,14.0
77,336.32,315.04,16.0
77,319.72,383.72,15.0
77,318.98,140.3,14.5
77,376.0,128.9,16.0
78,116.08,201.76,14.519999999999996
78,65.41,86.08000000000001,15.150000000000002
78,336.08,314.04,16.0
78,318.2,383.48,15.0
78,318.22,144.62,14.5
78,377.0,130.18,16.0
79,115.2,202.52,14.88000000000001
79,65.8,87.24,14.0
79,334.04,315.8,16.0
79,320.48,386.0,15.0
79,317.46,141.82,14.5
79,377.76,127.66,16.0
80,117.48,199.72,17.200000000000003
